,Wild Type,Epsilon,Zeta,Beta,Alpha,Delta,Kappa,Gamma,Iota1,Iota2,Eta,Ihu,Omicron1,Omicron5
Wild Type,100.0,99.70028624779414,99.79132815576452,99.67127236772274,99.68129481791624,99.67127236772274,99.76576570354037,99.69861903393934,99.79132815576452,99.69971829582164,99.68129481791624,99.69650039590347,99.76814671341788,99.69577301332548
Epsilon,99.70028624779414,100.0,99.67424961351887,99.66720061237882,99.6799814907362,99.66817840701191,99.66756662462933,99.91541179815793,99.67424961351887,99.98913562839672,99.6799814907362,99.70933245452046,99.67085503838304,99.71349425832582
Zeta,99.79132815576452,99.67424961351887,100.0,99.66005339922738,99.69771653436091,99.66303334477585,99.8738647519454,99.67330813841343,100.0,99.67382370811403,99.69771653436091,99.67306700897245,99.87906923241067,99.6710337169102
Beta,99.67127236772274,99.66720061237882,99.66005339922738,100.0,99.65884279634831,99.78674764668695,99.65369773411227,99.66557095465699,99.66005339922738,99.66675827671145,99.65884279634831,99.66770062229419,99.65730052987608,99.66516524082535
Alpha,99.68129481791624,99.6799814907362,99.69771653436091,99.65884279634831,100.0,99.6580046866628,99.68135535373409,99.67418485975806,99.69315873180503,99.67546530511092,100.0,99.6711674422505,99.6814120538057,99.66402214159874
Delta,99.67127236772274,99.66817840701191,99.66303334477585,99.78674764668695,99.6580046866628,100.0,99.65486177534214,99.66757310557237,99.66303334477585,99.66782919464295,99.6580046866628,99.67151880913796,99.65824330696033,99.6639521559318
Kappa,99.76576570354037,99.66756662462933,99.8738647519454,99.65369773411227,99.68135535373409,99.65486177534214,100.0,99.66335927632022,99.8718390605908,99.66291694065286,99.68135535373409,99.66491311165362,99.95229547953709,99.66129270058826
Gamma,99.69861903393934,99.91541179815793,99.67330813841343,99.66557095465699,99.67418485975806,99.66757310557237,99.66335927632022,100.0,99.66896995504821,99.918214463189,99.67418485975806,99.69646585814803,99.66552625993613,99.70433388575353
Iota1,99.79132815576452,99.67424961351887,100.0,99.66005339922738,99.69315873180503,99.66303334477585,99.8718390605908,99.66896995504821,100.0,99.66936572906637,99.69315873180503,99.67041785955725,99.8772739930581,99.66675158260921
Iota2,99.69971829582164,99.98913562839672,99.67382370811403,99.66675827671145,99.67546530511092,99.66782919464295,99.66291694065286,99.918214463189,99.66936572906637,100.0,99.67546530511092,99.69761365664709,99.66628048160354,99.70305081519305
Eta,99.68129481791624,99.6799814907362,99.69771653436091,99.65884279634831,100.0,99.6580046866628,99.68135535373409,99.67418485975806,99.69315873180503,99.67546530511092,100.0,99.6711674422505,99.6814120538057,99.66402214159874
Ihu,99.69650039590347,99.70933245452046,99.67306700897245,99.66770062229419,99.6711674422505,99.67151880913796,99.66491311165362,99.69646585814803,99.67041785955725,99.69761365664709,99.6711674422505,100.0,99.66691236178464,99.69086741240774
Omicron1,99.76814671341788,99.67085503838304,99.87906923241067,99.65730052987608,99.6814120538057,99.65824330696033,99.95229547953709,99.66552625993613,99.8772739930581,99.66628048160354,99.6814120538057,99.66691236178464,100.0,99.66164746639953
Omicron5,99.69577301332548,99.71349425832582,99.6710337169102,99.66516524082535,99.66402214159874,99.6639521559318,99.66129270058826,99.70433388575353,99.66675158260921,99.70305081519305,99.66402214159874,99.69086741240774,99.66164746639953,100.0
